reference,user_id,plan_type,amount,currency,status,updated_at
"cs_test_a1NRJgajmgfgVHxVozDMKE2oYSXbJ6zOsVWhWTtAWFozKrcc4CuxE4KxGM",1,"ROLE_MEDECIN",10.00,"TND","succeeded","2026-04-11 00:19:01.0"
"cs_test_a1kTrdLUwaTc4mk9XUFlYwQLTMiOKvALLQ8WlleLNznQ7cYPG5R6wkSC0s",1,"ROLE_PHARMACIEN",10.00,"TND","succeeded","2026-04-11 00:15:06.0"
"cs_test_a1l3XhdBAbRe1ZN7CxBgxriFw0Tz2SSGiJKfZ5Bs9FQFuQxWeVQnHjDk8e",1,"ROLE_MEDECIN",10.00,"TND","succeeded","2026-04-11 00:11:00.0"
"cs_test_a1Ml6D7M5JI2tDdxWn0OohW3bnyjVXgiLMMRrpVmoSFAeuJE8Lt1IFTWdJ",1,"ROLE_NUTRITIONNISTE",10.00,"TND","succeeded","2026-04-11 00:06:09.0"
"cs_test_a1m2oYdzfAp79iUdtuILcNKlE7uGP8xT1KJy8pZ5l5ekbNvag3rXIoeqYQ",1,"ROLE_MEDECIN",10.00,"TND","succeeded","2026-04-10 23:59:00.0"
"cs_1a93374e533e46ee8373f996",1,"ROLE_MEDECIN",10.00,"TND","succeeded","2026-04-10 17:33:02.0"
